id,year,films_released,market_share,gross,tickets_sold,inflation_adjusted_gross,genre
1,1995,29,0.15,771507571,177358047,1615731808,Adventure
2,1996,34,0.22,1290490033,291966054,2659810752,Adventure
3,1997,23,0.14,881902843,192135684,1750356081,Adventure
4,1998,29,0.24,1614467732,344236174,3135991545,Adventure
5,1999,27,0.22,1612432107,317407880,2891585787,Adventure
6,2000,30,0.18,1327311892,246254507,2243378559,Adventure
7,2001,32,0.27,2268870844,400860557,3651839674,Adventure
8,2002,45,0.31,2818919526,485184060,4420026787,Adventure
9,2003,46,0.26,2424131447,402011823,3662327708,Adventure
10,2004,47,0.31,2887833719,465029564,4236419328,Adventure
11,2005,43,0.29,2541162317,396437158,3611542509,Adventure
12,2006,44,0.30,2743705092,418886249,3816053728,Adventure
13,2007,41,0.30,2914786658,423660835,3859550207,Adventure
14,2008,57,0.31,3007666130,418894996,3816133414,Adventure
15,2009,49,0.26,2818706120,375827476,3423788306,Adventure
16,2010,44,0.31,3202949362,405950482,3698208891,Adventure
17,2011,51,0.27,2775702217,350025489,3188732205,Adventure
18,2012,48,0.30,3284291528,412599414,3758780662,Adventure
19,2013,40,0.27,2900376040,356749803,3249990705,Adventure
20,2014,49,0.27,2734961640,334756601,3049632635,Adventure
21,2015,51,0.27,3063807262,363440937,3310946936,Adventure
22,2016,53,0.37,4159137913,480825172,4380317317,Adventure
23,2017,44,0.24,2687890267,299653307,2729841627,Adventure
24,2018,50,0.25,2947385254,323532944,2947385120,Adventure
25,2019,29,0.32,2116910878,232372202,2116910760,Adventure
26,1995,29,0.20,1049544278,241274531,2198010977,Action
27,1996,36,0.21,1222675745,276623456,2520039684,Action
28,1997,36,0.23,1456612580,317344773,2891010882,Action
29,1998,30,0.14,973161753,207497162,1890299146,Action
30,1999,25,0.12,910203960,179173997,1632275113,Action
31,2000,31,0.17,1266568598,234984879,2140712248,Action
32,2001,31,0.17,1390622699,245693043,2238263622,Action
33,2002,32,0.15,1394290142,239981075,2186227593,Action
34,2003,36,0.23,2109404900,349818376,3186845405,Action
35,2004,28,0.12,1068864943,172119948,1568012726,Action
36,2005,41,0.15,1356922056,211688288,1928480304,Action
37,2006,33,0.11,1050592286,160395751,1461205292,Action
38,2007,38,0.15,1489960013,216563939,1972897484,Action
39,2008,36,0.17,1643555898,228907497,2085347298,Action
40,2009,31,0.19,2041030428,272137386,2479171586,Action
41,2010,31,0.17,1804202879,228669559,2083179682,Action
42,2011,47,0.21,2117521464,267026649,2432612772,Action
43,2012,48,0.20,2219838801,278874194,2540543907,Action
44,2013,45,0.22,2422588228,297981308,2714609716,Action
45,2014,49,0.25,2603979395,318724501,2903580204,Action
46,2015,56,0.26,2947442069,349637236,3185195220,Action
47,2016,60,0.22,2470725211,285632944,2602116120,Action
48,2017,67,0.30,3305708764,368529372,3357302579,Action
49,2018,59,0.34,4081103128,447980568,4081102974,Action
50,2019,33,0.36,2407045568,264220134,2407045421,Action
51,1995,131,0.29,1525963099,350796050,3195752016,Drama
52,1996,121,0.24,1373074715,310650329,2830024497,Drama
53,1997,117,0.19,1198241550,261054747,2378208745,Drama
54,1998,129,0.23,1577021454,336251847,3063254326,Drama
55,1999,134,0.20,1459030148,287210589,2616488466,Drama
56,2000,169,0.23,1749399163,324563774,2956775981,Drama
57,2001,152,0.16,1377191658,243320008,2216645273,Drama
58,2002,175,0.18,1601890899,275712631,2511742068,Drama
59,2003,175,0.12,1109294700,183962546,1675898794,Drama
60,2004,229,0.15,1380108936,222239651,2024603221,Drama
61,2005,266,0.16,1421398792,221746950,2020114715,Drama
62,2006,252,0.17,1566403106,239145382,2178614430,Drama
63,2007,249,0.13,1293722940,188041004,1713053546,Drama
64,2008,256,0.11,1089416918,151729266,1382253613,Drama
65,2009,198,0.17,1834467273,244595555,2228265506,Drama
66,2010,210,0.16,1688250391,213973344,1949297164,Drama
67,2011,246,0.15,1490321963,187934565,1712083887,Drama
68,2012,228,0.15,1670673352,209883469,1912038403,Drama
69,2013,232,0.12,1338304526,164612977,1499624220,Drama
70,2014,255,0.16,1642469345,201036506,1831442570,Drama
71,2015,288,0.19,2070187721,245573737,2237176744,Drama
72,2016,282,0.12,1360947564,157334842,1433320411,Drama
73,2017,252,0.12,1326555167,147887868,1347258477,Drama
74,2018,266,0.13,1608656181,176581251,1608655197,Drama
75,2019,142,0.08,539484260,59218835,539483587,Drama
76,1995,61,0.20,1048895722,241125423,2196652604,Comedy
77,1996,69,0.18,1041177912,235560580,2145956884,Comedy
78,1997,72,0.20,1296925200,282554475,2574071267,Comedy
79,1998,74,0.12,791406180,168743282,1537251299,Comedy
80,1999,69,0.18,1352538228,266247647,2425516064,Comedy
81,2000,79,0.20,1482623604,275069272,2505881068,Comedy
82,2001,88,0.18,1477683205,261074728,2378390772,Comedy
83,2002,82,0.14,1305574866,224711640,2047123040,Comedy
84,2003,82,0.20,1802604618,298939369,2723337652,Comedy
85,2004,120,0.18,1674459538,269639160,2456412748,Comedy
86,2005,129,0.21,1825866367,284846481,2594951442,Comedy
87,2006,125,0.21,1954939739,298464018,2719007204,Comedy
88,2007,134,0.15,1428122669,207575910,1891016540,Comedy
89,2008,125,0.22,2099450726,292402573,2663787440,Comedy
90,2009,87,0.13,1435281074,191370784,1743387842,Comedy
91,2010,77,0.13,1376066203,174406336,1588841721,Comedy
92,2011,96,0.15,1491182522,188043157,1713073160,Comedy
93,2012,94,0.10,1050654625,131991738,1202444733,Comedy
94,2013,98,0.15,1619719448,199227435,1814961933,Comedy
95,2014,102,0.12,1270249093,155477200,1416397292,Comedy
96,2015,121,0.12,1293229974,153408009,1397546962,Comedy
97,2016,98,0.13,1409767232,162978825,1484737096,Comedy
98,2017,74,0.07,784372296,87443925,796614157,Comedy
99,2018,75,0.07,865438920,94998758,865438685,Comedy
100,2019,37,0.08,516302472,56674235,516302281,Comedy
101,1995,19,0.06,329923961,75844582,690944142,Thriller-or-Suspense
102,1996,22,0.05,305709447,69165022,630093350,Thriller-or-Suspense
103,1997,23,0.10,646036777,140748740,1282221021,Thriller-or-Suspense
104,1998,22,0.12,786162209,167625193,1527065508,Thriller-or-Suspense
105,1999,17,0.08,574879882,113165323,1030936093,Thriller-or-Suspense
106,2000,27,0.08,572344556,106186358,967357721,Thriller-or-Suspense
107,2001,26,0.08,674556330,119179554,1085725737,Thriller-or-Suspense
108,2002,33,0.10,950052308,163520173,1489668776,Thriller-or-Suspense
109,2003,20,0.04,382640658,63456152,578085545,Thriller-or-Suspense
110,2004,30,0.09,801681437,129095226,1176057509,Thriller-or-Suspense
111,2005,25,0.04,368731981,57524478,524047995,Thriller-or-Suspense
112,2006,35,0.08,739589574,112914419,1028650357,Thriller-or-Suspense
113,2007,57,0.08,826453022,120123953,1094329212,Thriller-or-Suspense
114,2008,50,0.08,766796963,106796214,972913510,Thriller-or-Suspense
115,2009,55,0.09,965638077,128751724,1172928206,Thriller-or-Suspense
116,2010,51,0.09,919200109,116501895,1061332263,Thriller-or-Suspense
117,2011,60,0.09,928786329,117123096,1066991405,Thriller-or-Suspense
118,2012,63,0.14,1486220153,186711044,1700937611,Thriller-or-Suspense
119,2013,69,0.10,1126001155,138499493,1261730381,Thriller-or-Suspense
120,2014,62,0.09,969244659,118634566,1080760896,Thriller-or-Suspense
121,2015,72,0.10,1089501477,129240950,1177385055,Thriller-or-Suspense
122,2016,64,0.06,710027162,82084039,747785595,Thriller-or-Suspense
123,2017,63,0.06,697561877,77766071,708448907,Thriller-or-Suspense
124,2018,57,0.05,613216521,67312441,613216338,Thriller-or-Suspense
125,2019,35,0.08,529756839,58151118,529756685,Thriller-or-Suspense
126,1995,15,0.03,148103633,34046807,310166412,Horror
127,1996,9,0.02,112915551,25546499,232728606,Horror
128,1997,11,0.06,407801247,88845581,809383243,Horror
129,1998,16,0.05,318584830,67928527,618828881,Horror
130,1999,15,0.07,477204556,93937896,855774233,Horror
131,2000,14,0.05,370091662,68662640,625516650,Horror
132,2001,16,0.05,391330452,69139648,629862193,Horror
133,2002,11,0.03,297788051,51254391,466927502,Horror
134,2003,16,0.05,450032336,74632219,679899515,Horror
135,2004,20,0.05,464969445,74874297,682104846,Horror
136,2005,30,0.07,587908674,91717406,835545569,Horror
137,2006,31,0.06,553283464,84470742,769528460,Horror
138,2007,31,0.07,693525961,100803180,918316970,Horror
139,2008,26,0.03,307089719,42770147,389636039,Horror
140,2009,26,0.06,584680109,77957339,710191358,Horror
141,2010,26,0.05,531211616,67327194,613350737,Horror
142,2011,28,0.04,404326975,50987000,464491570,Horror
143,2012,34,0.03,356950354,44842994,408519675,Horror
144,2013,31,0.04,465941679,57311383,522106699,Horror
145,2014,30,0.02,254888301,31198061,284214336,Horror
146,2015,24,0.03,374324652,44403863,404519192,Horror
147,2016,29,0.04,484742323,56039563,510520419,Horror
148,2017,34,0.09,1039425572,115877974,1055648343,Horror
149,2018,34,0.08,901549329,98962594,901549231,Horror
150,2019,22,0.06,373458490,40994336,373458401,Horror
151,1995,16,0.06,297177737,68316713,622365255,Romantic-Comedy
152,1996,19,0.07,427301022,96674429,880704048,Romantic-Comedy
153,1997,22,0.05,297133612,64734983,589735695,Romantic-Comedy
154,1998,14,0.07,500783066,106776765,972736329,Romantic-Comedy
155,1999,23,0.10,722597811,142243650,1295839652,Romantic-Comedy
156,2000,23,0.05,374478694,69476556,632931425,Romantic-Comedy
157,2001,23,0.06,529130923,93486019,851657633,Romantic-Comedy
158,2002,24,0.06,574879303,98946512,901402724,Romantic-Comedy
159,2003,25,0.05,495065519,82100406,747934699,Romantic-Comedy
160,2004,33,0.07,651589511,104925831,955874320,Romantic-Comedy
161,2005,15,0.05,440435727,68710713,625954595,Romantic-Comedy
162,2006,19,0.04,342785466,52333650,476759552,Romantic-Comedy
163,2007,35,0.08,733929251,106675748,971816064,Romantic-Comedy
164,2008,25,0.03,330849160,46079258,419782040,Romantic-Comedy
165,2009,26,0.06,642370662,85649416,780266180,Romantic-Comedy
166,2010,30,0.05,517406269,65577463,597410688,Romantic-Comedy
167,2011,33,0.06,577791604,72861475,663768037,Romantic-Comedy
168,2012,31,0.03,340203356,42739101,389353210,Romantic-Comedy
169,2013,25,0.02,197247886,24261722,221024287,Romantic-Comedy
170,2014,30,0.03,264693693,32398230,295147875,Romantic-Comedy
171,2015,23,0.01,74106836,8790834,80084498,Romantic-Comedy
172,2016,30,0.01,137209258,15862326,144505790,Romantic-Comedy
173,2017,15,0.01,85994969,9586948,87337096,Romantic-Comedy
174,2018,15,0.02,241037483,26458555,241037436,Romantic-Comedy
175,2019,9,0.01,81761874,8974954,81761831,Romantic-Comedy
176,1996,2,0.00,2562599,579772,5281723,Musical
177,1997,5,0.02,114425007,24929194,227104957,Musical
178,1998,8,0.01,67210342,14330561,130551411,Musical
179,1999,8,0.00,23577029,4641144,42280822,Musical
180,2000,9,0.01,93372793,17323334,157815573,Musical
181,2001,7,0.01,69839373,12339107,112409265,Musical
182,2002,8,0.01,57581105,9910687,90286359,Musical
183,2003,6,0.02,169169167,28054586,255577278,Musical
184,2004,5,0.00,22364844,3601422,32808954,Musical
185,2005,7,0.01,81788548,12759520,116239227,Musical
186,2006,7,0.01,68195041,10411454,94848346,Musical
187,2007,11,0.03,255937558,37200221,338894013,Musical
188,2008,11,0.03,260176422,36236267,330112392,Musical
189,2009,10,0.00,39330920,5244119,47773924,Musical
190,2010,9,0.02,174481691,22114278,201461073,Musical
191,2011,4,0.01,84688775,10679542,97290628,Musical
192,2012,6,0.02,220698707,27725964,252583532,Musical
193,2013,6,0.03,357193074,43935184,400249526,Musical
194,2014,7,0.02,252182790,30866923,281197669,Musical
195,2015,8,0.01,68944880,8178513,74506253,Musical
196,2016,8,0.02,248894081,28773877,262130019,Musical
197,2017,9,0.08,890162292,99237710,904055538,Musical
198,2018,9,0.03,417625409,45842523,417625385,Musical
199,2019,2,0.01,33582542,3686337,33582530,Musical
200,1995,9,0.02,81994311,18849263,171716786,Documentary
201,1996,7,0.00,6791655,1536569,13998144,Documentary
202,1997,9,0.00,10372500,2259800,20586778,Documentary
203,1998,12,0.01,85954501,18327179,166960601,Documentary
204,1999,25,0.01,88124882,17347407,158034878,Documentary
205,2000,42,0.02,127001363,23562383,214653309,Documentary
206,2001,25,0.00,21807044,3852823,35099218,Documentary
207,2002,33,0.01,72020241,12395894,112926594,Documentary
208,2003,56,0.01,91169924,15119361,137737379,Documentary
209,2004,89,0.03,235480966,37919594,345447501,Documentary
210,2005,99,0.02,165886230,25879242,235759895,Documentary
211,2006,111,0.01,102355386,15626720,142359419,Documentary
212,2007,109,0.01,70753270,10283847,93685846,Documentary
213,2008,126,0.01,87432868,12177214,110934420,Documentary
214,2009,93,0.02,187444087,24992506,227681730,Documentary
215,2010,116,0.01,93857579,11895704,108369863,Documentary
216,2011,135,0.01,82415597,10392818,94678572,Documentary
217,2012,149,0.01,132328422,16624104,151445587,Documentary
218,2013,160,0.00,49307450,6064807,55250392,Documentary
219,2014,152,0.01,88025980,10774221,98153153,Documentary
220,2015,143,0.01,65083771,7720431,70333126,Documentary
221,2016,158,0.00,50780120,5870460,53479891,Documentary
222,2017,149,0.00,44906044,5006181,45606309,Documentary
223,2018,144,0.01,107181232,11765171,107180708,Documentary
224,2019,79,0.01,59938524,6579379,59938143,Documentary
225,1995,3,0.00,24185598,5559905,50650735,Black-Comedy
226,1996,3,0.00,2567371,580852,5291562,Black-Comedy
227,1997,5,0.01,37327594,8132372,74085909,Black-Comedy
228,1998,6,0.01,46315475,9875365,89964575,Black-Comedy
229,1999,9,0.01,101746444,20028824,182462587,Black-Comedy
230,2000,7,0.01,51210561,9501029,86554374,Black-Comedy
231,2001,3,0.01,57007068,10071918,91755173,Black-Comedy
232,2002,4,0.01,47766617,8221446,74897373,Black-Comedy
233,2003,2,0.01,56947540,9444035,86035159,Black-Comedy
234,2004,3,0.00,5277208,849791,7741596,Black-Comedy
235,2005,6,0.00,9517330,1484760,13526164,Black-Comedy
236,2006,5,0.00,32291174,4929948,44911826,Black-Comedy
237,2007,3,0.00,2456085,356987,3252152,Black-Comedy
238,2008,6,0.01,61625210,8582895,78190173,Black-Comedy
239,2009,9,0.01,54671157,7289484,66407199,Black-Comedy
240,2010,11,0.01,53218987,6745113,61447979,Black-Comedy
241,2011,11,0.00,35839668,4519498,41172627,Black-Comedy
242,2012,14,0.01,92522208,11623385,105889037,Black-Comedy
243,2013,12,0.02,188672454,23206939,211415214,Black-Comedy
244,2014,13,0.02,181517016,22217499,202401416,Black-Comedy
245,2015,13,0.01,74779827,8870675,80811849,Black-Comedy
246,2016,6,0.00,49182952,5685888,51798440,Black-Comedy
247,2017,10,0.01,61215946,6824518,62171359,Black-Comedy
248,2018,10,0.01,137878182,15134813,137878146,Black-Comedy
249,2019,4,0.01,36609765,4018633,36609747,Black-Comedy
250,1995,6,0.01,36538078,8399556,76519955,Western
251,1996,2,0.00,1118960,253157,2306260,Western
252,1999,1,0.00,491069,96667,880636,Western
253,2000,4,0.01,64719710,12007366,109387104,Western
254,2001,4,0.00,22389813,3955796,36037302,Western
255,2003,2,0.01,84453058,14005482,127589941,Western
256,2004,4,0.01,90475689,14569352,132726797,Western
257,2005,1,0.00,14873,2320,21135,Western
258,2006,2,0.00,584825,89285,813386,Western
259,2007,4,0.01,57964064,8425007,76751814,Western
260,2008,4,0.00,20317697,2829762,25779132,Western
261,2009,2,0.00,169906,22654,206378,Western
262,2010,3,0.01,92697737,11748762,107031222,Western
263,2011,2,0.01,84669662,10677132,97268673,Western
264,2012,2,0.01,106297399,13353944,121654430,Western
265,2013,4,0.01,145859175,17940856,163441198,Western
266,2014,2,0.00,2323054,284339,2590328,Western
267,2015,6,0.00,29521197,3501919,31902482,Western
268,2016,7,0.01,147170965,17013981,154997367,Western
269,2017,8,0.01,61575125,6864560,62536142,Western
270,2018,7,0.00,33408750,3667257,33408711,Western
271,2019,3,0.00,1707418,187421,1707405,Western
272,1999,1,0.00,148443,29221,266203,Concert-or-Performance
